Date,Open,High,Low,Close,Adj Close,Volume
2017-10-19,131.250000,131.710007,130.940002,131.710007,126.182304,1942600
2017-10-20,132.070007,132.449997,132.070007,132.419998,126.862465,1751000
2017-10-23,132.630005,132.679993,131.789993,131.860001,126.325958,1755700
2017-10-24,132.160004,132.229996,131.889999,132.089996,126.546341,1574400
2017-10-25,131.910004,131.949997,130.690002,131.399994,125.885277,2186500
2017-10-26,131.720001,132.009995,131.490005,131.570007,126.048134,5396300
2017-10-27,131.940002,132.669998,131.759995,132.639999,127.073235,2672600
2017-10-30,131.940002,132.539993,131.899994,132.059998,126.517593,1688900
2017-10-31,132.270004,132.500000,132.119995,132.330002,126.776245,2378300
2017-11-01,132.830002,133.029999,132.169998,132.440002,126.881638,2275500
2017-11-02,132.339996,132.529999,131.820007,132.470001,126.910355,5097200
2017-11-03,132.539993,132.889999,132.279999,132.820007,127.245689,2677400
2017-11-06,132.770004,133.169998,132.750000,133.070007,127.485199,2017700
2017-11-07,133.160004,133.330002,132.529999,132.839996,127.264839,2527400
2017-11-08,132.729996,133.119995,132.550003,133.059998,127.475594,1267700
2017-11-09,132.380005,132.740005,131.619995,132.520004,126.958305,4320300
2017-11-10,132.240005,132.630005,132.169998,132.539993,126.977425,2042100
2017-11-13,132.110001,132.750000,132.080002,132.610001,127.044510,1876000
2017-11-14,132.220001,132.419998,131.789993,132.369995,126.814552,3776500
2017-11-15,131.789993,132.080002,131.210007,131.690002,126.163124,1772400
2017-11-16,132.110001,133.100006,132.110001,132.889999,127.312729,1730600
2017-11-17,132.639999,132.910004,132.610001,132.639999,127.073235,4850200
2017-11-20,132.820007,133.050003,132.679993,132.979996,127.398941,1805700
2017-11-21,133.440002,133.940002,133.419998,133.899994,128.280350,1956900
2017-11-22,133.940002,134.000000,133.690002,133.800003,128.184555,1295600
2017-11-24,134.080002,134.130005,133.979996,134.110001,128.481522,670500
2017-11-27,134.119995,134.289993,133.869995,133.970001,128.347412,1754300
2017-11-28,134.250000,135.360001,134.139999,135.300003,129.621628,2922900
2017-11-29,135.460007,135.789993,135.020004,135.300003,129.621628,2066300
2017-11-30,135.880005,136.919998,135.779999,136.339996,130.617981,2854400
2017-12-01,136.279999,136.500000,134.039993,136.070007,130.359299,3585700
2017-12-04,137.039993,137.380005,135.880005,135.889999,130.186844,3119400
2017-12-05,136.089996,136.330002,135.229996,135.309998,129.631180,2583300
2017-12-06,135.339996,135.460007,135.000000,135.229996,129.554535,2835600
2017-12-07,135.139999,135.940002,135.080002,135.770004,130.071884,1537600
2017-12-08,136.369995,136.520004,136.070007,136.479996,130.752060,1502600
2017-12-11,136.500000,136.830002,136.479996,136.800003,131.058670,1934300
2017-12-12,136.979996,137.250000,136.809998,136.949997,131.202347,1517200
2017-12-13,137.029999,137.429993,136.910004,136.970001,131.221542,1858800
2017-12-14,137.220001,137.240005,136.270004,136.330002,130.608398,1856100
2017-12-15,136.949997,137.830002,136.869995,137.550003,131.777161,2293000
2017-12-18,138.259995,138.679993,138.259995,138.500000,132.687302,2696300
2017-12-19,138.720001,138.720001,137.899994,137.940002,132.150803,3642100
2017-12-20,138.500000,138.550003,137.679993,137.929993,132.141220,2522200
2017-12-21,137.619995,137.929993,137.389999,137.570007,132.442566,2111200
2017-12-22,137.639999,137.860001,137.190002,137.520004,132.394409,1926000
2017-12-26,137.339996,137.520004,137.289993,137.410004,132.288528,2051300
2017-12-27,137.580002,137.720001,137.339996,137.460007,132.336655,2242400
2017-12-28,137.789993,137.809998,137.509995,137.759995,132.625473,2936500
2017-12-29,138.080002,138.100006,137.149994,137.250000,132.134476,2256500
2018-01-02,137.750000,138.229996,137.440002,138.220001,133.068329,3699700
2018-01-03,138.389999,139.100006,138.300003,139.020004,133.838501,3052300
2018-01-04,139.419998,139.809998,139.350006,139.550003,134.348755,2572400
2018-01-05,140.020004,140.440002,139.720001,140.369995,135.138184,2188500
2018-01-08,140.309998,140.770004,140.100006,140.690002,135.446259,2655300
2018-01-09,140.919998,141.309998,140.710007,140.949997,135.696579,2625200
2018-01-10,140.570007,140.850006,140.070007,140.729996,135.484756,2014900
2018-01-11,141.000000,141.919998,140.970001,141.919998,136.630417,2188000
2018-01-12,142.080002,142.850006,142.000000,142.750000,137.429520,2661800
2018-01-16,143.529999,143.820007,141.710007,142.119995,136.822952,3973400
2018-01-17,142.720001,143.639999,142.250000,143.429993,138.084122,2756400
2018-01-18,143.419998,143.580002,142.899994,143.179993,137.843460,2705800
2018-01-19,143.490005,143.929993,143.190002,143.919998,138.555878,2119000
2018-01-22,143.839996,145.059998,143.839996,145.059998,139.653412,2849900
2018-01-23,145.100006,145.570007,144.919998,145.419998,139.999985,2261300
2018-01-24,145.850006,146.110001,144.630005,145.279999,139.865189,3409300
2018-01-25,145.839996,145.839996,144.869995,145.339996,139.922974,4234600
2018-01-26,145.820007,146.869995,145.630005,146.860001,141.386307,1995900
2018-01-29,146.580002,146.820007,145.820007,145.899994,140.462067,2688200
2018-01-30,144.740005,145.149994,144.149994,144.380005,138.998734,4898200
2018-01-31,144.940002,145.240005,143.789993,144.429993,139.046875,4670200
2018-02-01,143.979996,145.020004,143.839996,144.369995,138.989090,2924800
2018-02-02,143.509995,143.679993,141.240005,141.300003,136.033554,5323600
2018-02-05,140.210007,141.399994,135.149994,135.740005,130.680771,10357400
2018-02-06,133.259995,138.240005,132.500000,137.960007,132.818039,10791200
2018-02-07,137.830002,139.559998,137.350006,137.350006,132.230743,6176300
2018-02-08,137.529999,137.800003,132.350006,132.410004,127.474869,7683300
2018-02-09,133.899994,135.210007,129.839996,134.229996,129.227066,9474000
2018-02-12,135.350006,136.850006,134.229996,136.020004,130.950302,4251900
2018-02-13,135.339996,136.699997,135.009995,136.449997,131.364304,2973000
2018-02-14,135.619995,138.550003,135.570007,138.360001,133.203110,3076800
2018-02-15,139.330002,140.050003,137.949997,140.050003,134.830093,2853000
2018-02-16,139.679993,141.229996,139.669998,140.110001,134.887894,2813100
2018-02-20,139.559998,140.440002,138.820007,139.270004,134.079193,2490000
2018-02-21,139.449997,140.960007,138.610001,138.619995,133.453430,2182200
2018-02-22,139.190002,140.089996,138.380005,138.710007,133.540070,2111700
2018-02-23,139.449997,140.860001,139.139999,140.860001,135.609924,1439500
2018-02-26,141.500000,142.410004,141.039993,142.339996,137.034775,1765700
2018-02-27,142.410004,142.860001,140.550003,140.550003,135.311508,2305100
2018-02-28,141.179993,141.399994,138.970001,139.000000,133.819244,2290500
2018-03-01,139.070007,139.880005,136.399994,137.350006,132.230743,4846700
2018-03-02,136.279999,138.509995,135.830002,138.240005,133.087570,3021300
2018-03-05,137.550003,140.149994,137.500000,139.800003,134.589478,2916600
2018-03-06,140.360001,140.610001,139.320007,140.309998,135.080444,2788000
2018-03-07,139.050003,140.610001,138.970001,140.429993,135.195953,2569100
2018-03-08,140.830002,141.029999,140.110001,140.960007,135.706192,2307500
2018-03-09,141.789993,143.300003,141.550003,143.300003,137.958984,2325100
2018-03-12,143.490005,143.850006,142.960007,143.220001,137.881973,1999200
2018-03-13,143.860001,144.139999,142.009995,142.330002,137.025177,2080500
2018-03-14,142.899994,142.990005,141.350006,141.610001,136.331970,2103100
2018-03-15,141.960007,142.220001,141.110001,141.419998,136.149048,1927900
2018-03-16,141.580002,142.190002,141.580002,141.660004,136.380112,2641400
2018-03-19,141.160004,141.399994,138.860001,139.839996,134.627945,3154300
2018-03-20,140.000000,140.419998,139.660004,140.050003,134.830093,1672000
2018-03-21,140.050003,141.240005,139.779999,139.929993,134.714584,2106700
2018-03-22,138.149994,138.610001,135.850006,135.949997,131.414505,3130600
2018-03-23,136.130005,136.440002,133.029999,133.100006,128.659576,5697000
2018-03-26,135.089996,136.729996,133.759995,136.610001,132.052460,3859500
2018-03-27,137.179993,137.309998,133.429993,134.190002,129.713226,3309900
2018-03-28,134.360001,135.190002,133.229996,133.880005,129.413559,4740000
2018-03-29,134.490005,136.589996,134.160004,135.720001,131.192154,2346400
2018-04-02,135.289993,135.570007,131.259995,132.630005,128.205276,5703700
2018-04-03,133.350006,134.539993,132.350006,134.279999,129.800232,3737200
2018-04-04,132.190002,136.100006,132.100006,135.789993,131.259827,2928000
2018-04-05,136.649994,137.229996,136.110001,136.740005,132.178131,2683600
2018-04-06,135.729996,136.539993,132.919998,133.869995,129.403900,4942600
2018-04-09,134.720001,136.300003,134.160004,134.320007,129.838913,2239400
2018-04-10,136.000000,136.970001,135.460007,136.500000,131.946152,2153900
2018-04-11,135.669998,136.830002,135.399994,135.869995,131.337173,2063800
2018-04-12,136.729996,137.529999,136.509995,136.970001,132.400482,1858700
2018-04-13,137.720001,137.750000,136.009995,136.580002,132.023468,2192600
2018-04-16,137.539993,138.149994,136.970001,137.720001,133.125443,2892600
2018-04-17,138.729996,139.529999,138.429993,139.169998,134.527069,2219900
2018-04-18,139.539993,139.850006,139.089996,139.360001,134.710739,1554400
2018-04-19,138.979996,139.179993,138.020004,138.600006,133.976089,4003900
2018-04-20,138.559998,138.669998,137.029999,137.500000,132.912781,1669600
2018-04-23,137.779999,138.160004,136.809998,137.449997,132.864441,2033700
